nationality,image,name,club,position,height,foot,age
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,85260.png,Kylian Mbappé,Paris Saint-Germain,Attacking Midfielder Left,178,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EG.svg,52690.png,Mohamed Salah,Liverpool,Attacking Midfielder Right,175,Left,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/NO.svg,88100.png,Erling Haaland,Manchester City,Forward Centre,194,Left,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,49590.png,Harry Kane,Bayern München,Attacking Midfielder Centre,188,Right,30
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,41105.png,Kevin de Bruyne,Manchester City,Midfielder Centre,181,Right,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/AR.svg,2772.png,Lionel Messi,Inter Miami CF,Attacking Midfielder Right Centre,170,Left,36
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,90068.png,Vinícius Júnior,Real Madrid,Attacking Midfielder Left,176,Right,23
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,34893.png,Robert Lewandowski,Barcelona,Forward Centre,185,Right,35
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,101902.png,Jude Bellingham,Real Madrid,Midfielder Right Left Centre,185,Right,20
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/ES.svg,82178.png,Hernández Rodri,Manchester City,Defensive Midfielder Centre,191,Right,27
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,68359.png,Becker Alisson,Liverpool,Goalkeeper,192,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,38848.png,Thibaut Courtois,Real Madrid,Goalkeeper,199,Left,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/KO.svg,45279.png,Heung-Min Son,Tottenham Hotspur,Attacking Midfielder Right Left,183,Both,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,41780.png,Antoine Griezmann,Atlético Madrid,Attacking Midfielder Right Left Centre,176,Left,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,38457.png,Júnior Neymar,Al Hilal SFC,Attacking Midfielder Left Centre,175,Both,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,68359.png,Becker Alisson,Liverpool,Goalkeeper,192,Right,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BE.svg,38848.png,Thibaut Courtois,Real Madrid,Goalkeeper,199,Left,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/KO.svg,45279.png,Heung-Min Son,Tottenham Hotspur,Attacking Midfielder Right Left,183,Both,31
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,41780.png,Antoine Griezmann,Atlético Madrid,Attacking Midfielder Right Left Centre,176,Left,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,38457.png,Júnior Neymar,Al Hilal SFC,Attacking Midfielder Left Centre,175,Both,32
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/FR.svg,3884.png,Karim Benzema,Al Ittihad,Forward Centre,187,Both,36
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,68182.png,Bernardo Silva,Manchester City,Midfielder Right Centre,173,Left,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/PO.svg,64598.png,Bruno Fernandes,Manchester United,Midfielder Centre,179,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,38147.png,Ilkay Gündoğan,Barcelona,Defensive Midfielder Centre,180,Both,33
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,29738.png,Toni Kroos,Real Madrid,Defensive Midfielder Centre,182,Both,34
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,4336.png,Luka Modrić,Real Madrid,Midfielder Centre,174,Both,38
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,81249.png,Federico Valverde,Real Madrid,Midfielder Right Centre,182,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,88385.png,Trent Alexander-Arnold,Liverpool,Defender Right,175,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,70860.png,Joshua Kimmich,Bayern München,Defender Right,176,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,56786.png,Corrêa Marquinhos,Paris Saint-Germain,Defender Centre,183,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/CR.svg,4336.png,Luka Modrić,Real Madrid,Midfielder Centre,174,Both,38
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/UR.svg,81249.png,Federico Valverde,Real Madrid,Midfielder Right Centre,182,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/EN.svg,88385.png,Trent Alexander-Arnold,Liverpool,Defender Right,175,Right,25
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/GE.svg,70860.png,Joshua Kimmich,Bayern München,Defender Right,176,Right,29
https://cdnjs.cloudflare.com/ajax/libs/flag-icon-css/3.3.0/flags/4x3/BR.svg,56786.png,Corrêa Marquinhos,Paris Saint-Germain,Defender Centre,183,Right,29
